time_utc,var,name,value
2019-01-16T10:23:56Z,air_carbon_dioxide_ppm,T6713-Top,412.0
2019-01-16T10:23:57Z,air_temperature_celcius,SHT25-Top,24.0
2019-01-16T10:24:00Z,air_humidity_percent,SHT25-Top,24.0
2019-01-16T10:28:55Z,air_temperature_celcius,SHT25-Top,24.0
2019-01-16T10:28:56Z,air_carbon_dioxide_ppm,T6713-Top,392.0
2019-01-16T10:28:59Z,air_humidity_percent,SHT25-Top,23.0
2019-01-16T10:33:56Z,air_carbon_dioxide_ppm,T6713-Top,392.0
2019-01-16T10:34:00Z,air_humidity_percent,SHT25-Top,23.0
2019-01-16T10:34:03Z,air_temperature_celcius,SHT25-Top,24.0
2019-01-16T10:38:57Z,air_carbon_dioxide_ppm,T6713-Top,413.0
2019-01-16T10:38:58Z,air_temperature_celcius,SHT25-Top,24.0
2019-01-16T10:38:59Z,air_humidity_percent,SHT25-Top,23.0
2019-01-16T10:43:58Z,air_humidity_percent,SHT25-Top,23.0
2019-01-16T10:44:00Z,air_carbon_dioxide_ppm,T6713-Top,413.0
2019-01-16T10:44:00Z,air_temperature_celcius,SHT25-Top,25.0
2019-01-16T10:48:58Z,air_carbon_dioxide_ppm,T6713-Top,404.0
2019-01-16T10:49:00Z,air_humidity_percent,SHT25-Top,22.0
2019-01-16T10:49:01Z,air_temperature_celcius,SHT25-Top,26.0
2019-01-16T10:53:59Z,air_carbon_dioxide_ppm,T6713-Top,419.0
2019-01-16T10:53:59Z,air_temperature_celcius,SHT25-Top,27.0
2019-01-16T10:54:00Z,air_humidity_percent,SHT25-Top,22.0
2019-01-16T10:58:58Z,air_carbon_dioxide_ppm,T6713-Top,410.0
2019-01-16T10:58:59Z,air_humidity_percent,SHT25-Top,20.0
2019-01-16T10:59:04Z,air_temperature_celcius,SHT25-Top,27.0
2019-01-16T11:19:04Z,air_humidity_percent,SHT25-Top,19.0
2019-01-16T11:19:05Z,air_temperature_celcius,SHT25-Top,28.0
2019-01-16T11:19:06Z,air_carbon_dioxide_ppm,T6713-Top,387.0
2019-01-16T11:24:02Z,air_humidity_percent,SHT25-Top,20.0
2019-01-16T11:24:03Z,air_temperature_celcius,SHT25-Top,28.0
2019-01-16T11:24:05Z,air_carbon_dioxide_ppm,T6713-Top,388.0
2019-01-16T11:29:01Z,air_humidity_percent,SHT25-Top,19.0
2019-01-16T11:29:02Z,air_temperature_celcius,SHT25-Top,28.0
2019-01-16T11:29:03Z,air_carbon_dioxide_ppm,T6713-Top,385.0
2019-01-16T11:34:01Z,air_humidity_percent,SHT25-Top,20.0
2019-01-16T11:34:04Z,air_temperature_celcius,SHT25-Top,28.0
2019-01-16T11:34:08Z,air_carbon_dioxide_ppm,T6713-Top,397.0
2019-01-16T11:39:04Z,air_carbon_dioxide_ppm,T6713-Top,394.0
2019-01-16T11:39:06Z,air_temperature_celcius,SHT25-Top,28.0
2019-01-16T11:39:09Z,air_humidity_percent,SHT25-Top,19.0
2019-01-16T11:44:02Z,air_temperature_celcius,SHT25-Top,28.0
2019-01-16T11:44:03Z,air_humidity_percent,SHT25-Top,19.0
2019-01-16T11:44:07Z,air_carbon_dioxide_ppm,T6713-Top,403.0
2019-01-16T11:49:04Z,air_carbon_dioxide_ppm,T6713-Top,383.0
2019-01-16T11:49:08Z,air_humidity_percent,SHT25-Top,19.0
2019-01-16T11:49:09Z,air_temperature_celcius,SHT25-Top,28.0
2019-01-16T11:54:04Z,air_carbon_dioxide_ppm,T6713-Top,380.0
2019-01-16T11:54:06Z,air_temperature_celcius,SHT25-Top,28.0
2019-01-16T11:54:09Z,air_humidity_percent,SHT25-Top,19.0
2019-01-16T11:59:03Z,air_humidity_percent,SHT25-Top,19.0
2019-01-16T11:59:05Z,air_carbon_dioxide_ppm,T6713-Top,379.0
2019-01-16T11:59:10Z,air_temperature_celcius,SHT25-Top,28.0
2019-01-16T12:04:05Z,air_carbon_dioxide_ppm,T6713-Top,378.0
2019-01-16T12:04:06Z,air_temperature_celcius,SHT25-Top,28.0
2019-01-16T12:04:09Z,air_humidity_percent,SHT25-Top,19.0
2019-01-16T12:09:04Z,air_carbon_dioxide_ppm,T6713-Top,372.0
2019-01-16T12:09:06Z,air_humidity_percent,SHT25-Top,19.0
2019-01-16T12:09:07Z,air_temperature_celcius,SHT25-Top,28.0
2019-01-16T12:14:05Z,air_humidity_percent,SHT25-Top,19.0
2019-01-16T12:14:05Z,air_carbon_dioxide_ppm,T6713-Top,379.0
2019-01-16T12:14:06Z,air_temperature_celcius,SHT25-Top,28.0
2019-01-16T12:19:06Z,air_humidity_percent,SHT25-Top,19.0
2019-01-16T12:19:07Z,air_temperature_celcius,SHT25-Top,28.0
2019-01-16T12:19:08Z,air_carbon_dioxide_ppm,T6713-Top,376.0
2019-01-16T12:24:06Z,air_humidity_percent,SHT25-Top,19.0
2019-01-16T12:24:07Z,air_temperature_celcius,SHT25-Top,28.0
