time_utc,var,name,value
2019-01-16T10:23:58Z,air_temperature_celcius,SHT25-Top,23.0
2019-01-16T10:23:59Z,air_carbon_dioxide_ppm,T6713-Top,188.0
2019-01-16T10:23:59Z,air_humidity_percent,SHT25-Top,24.0
2019-01-16T10:28:59Z,air_humidity_percent,SHT25-Top,24.0
2019-01-16T10:29:00Z,air_temperature_celcius,SHT25-Top,23.0
2019-01-16T10:29:01Z,air_carbon_dioxide_ppm,T6713-Top,174.0
2019-01-16T10:34:00Z,air_humidity_percent,SHT25-Top,23.0
2019-01-16T10:34:00Z,air_temperature_celcius,SHT25-Top,23.0
2019-01-16T10:34:01Z,air_carbon_dioxide_ppm,T6713-Top,168.0
2019-01-16T10:39:04Z,air_temperature_celcius,SHT25-Top,23.0
2019-01-16T10:39:05Z,air_carbon_dioxide_ppm,T6713-Top,177.0
2019-01-16T10:39:05Z,air_humidity_percent,SHT25-Top,23.0
2019-01-16T10:44:04Z,air_temperature_celcius,SHT25-Top,22.0
2019-01-16T10:44:05Z,air_humidity_percent,SHT25-Top,23.0
2019-01-16T10:44:07Z,air_carbon_dioxide_ppm,T6713-Top,177.0
2019-01-16T10:49:06Z,air_humidity_percent,SHT25-Top,23.0
2019-01-16T10:49:08Z,air_temperature_celcius,SHT25-Top,23.0
2019-01-16T10:49:09Z,air_carbon_dioxide_ppm,T6713-Top,172.0
2019-01-16T10:54:14Z,air_carbon_dioxide_ppm,T6713-Top,182.0
2019-01-16T10:54:16Z,air_humidity_percent,SHT25-Top,22.0
2019-01-16T10:54:17Z,air_temperature_celcius,SHT25-Top,24.0
2019-01-16T10:59:11Z,air_temperature_celcius,SHT25-Top,24.0
2019-01-16T10:59:13Z,air_humidity_percent,SHT25-Top,18.0
2019-01-16T10:59:15Z,air_carbon_dioxide_ppm,T6713-Top,185.0
2019-01-16T11:04:08Z,air_humidity_percent,SHT25-Top,16.0
2019-01-16T11:04:09Z,air_temperature_celcius,SHT25-Top,25.0
2019-01-16T11:04:14Z,air_carbon_dioxide_ppm,T6713-Top,183.0
2019-01-16T11:09:06Z,air_temperature_celcius,SHT25-Top,25.0
2019-01-16T11:09:09Z,air_humidity_percent,SHT25-Top,17.0
2019-01-16T11:09:11Z,air_carbon_dioxide_ppm,T6713-Top,178.0
2019-01-16T11:14:11Z,air_carbon_dioxide_ppm,T6713-Top,167.0
2019-01-16T11:14:12Z,air_humidity_percent,SHT25-Top,17.0
2019-01-16T11:14:13Z,air_temperature_celcius,SHT25-Top,25.0
2019-01-16T11:19:08Z,air_carbon_dioxide_ppm,T6713-Top,162.0
2019-01-16T11:19:19Z,air_humidity_percent,SHT25-Top,16.0
2019-01-16T11:19:21Z,air_temperature_celcius,SHT25-Top,25.0
2019-01-16T11:24:10Z,air_carbon_dioxide_ppm,T6713-Top,158.0
2019-01-16T11:24:14Z,air_humidity_percent,SHT25-Top,17.0
2019-01-16T11:24:14Z,air_temperature_celcius,SHT25-Top,25.0
2019-01-16T11:29:13Z,air_humidity_percent,SHT25-Top,16.0
2019-01-16T11:29:16Z,air_carbon_dioxide_ppm,T6713-Top,158.0
2019-01-16T11:29:17Z,air_temperature_celcius,SHT25-Top,25.0
2019-01-16T11:34:10Z,air_humidity_percent,SHT25-Top,16.0
2019-01-16T11:34:11Z,air_temperature_celcius,SHT25-Top,25.0
2019-01-16T11:34:12Z,air_carbon_dioxide_ppm,T6713-Top,159.0
2019-01-16T11:39:12Z,air_humidity_percent,SHT25-Top,17.0
2019-01-16T11:39:15Z,air_temperature_celcius,SHT25-Top,25.0
2019-01-16T11:39:19Z,air_carbon_dioxide_ppm,T6713-Top,160.0
2019-01-16T11:44:10Z,air_temperature_celcius,SHT25-Top,26.0
2019-01-16T11:44:11Z,air_humidity_percent,SHT25-Top,16.0
2019-01-16T11:44:13Z,air_carbon_dioxide_ppm,T6713-Top,163.0
2019-01-16T11:49:10Z,air_carbon_dioxide_ppm,T6713-Top,152.0
2019-01-16T11:49:10Z,air_temperature_celcius,SHT25-Top,26.0
2019-01-16T11:49:12Z,air_humidity_percent,SHT25-Top,16.0
2019-01-16T11:54:10Z,air_humidity_percent,SHT25-Top,16.0
2019-01-16T11:54:10Z,air_temperature_celcius,SHT25-Top,25.0
2019-01-16T11:54:14Z,air_carbon_dioxide_ppm,T6713-Top,147.0
2019-01-16T11:59:10Z,air_humidity_percent,SHT25-Top,16.0
2019-01-16T11:59:11Z,air_carbon_dioxide_ppm,T6713-Top,148.0
2019-01-16T11:59:15Z,air_temperature_celcius,SHT25-Top,26.0
2019-01-16T12:04:11Z,air_humidity_percent,SHT25-Top,16.0
2019-01-16T12:04:12Z,air_temperature_celcius,SHT25-Top,26.0
2019-01-16T12:04:13Z,air_carbon_dioxide_ppm,T6713-Top,147.0
2019-01-16T12:09:11Z,air_humidity_percent,SHT25-Top,16.0
2019-01-16T12:09:12Z,air_temperature_celcius,SHT25-Top,26.0
2019-01-16T12:09:14Z,air_carbon_dioxide_ppm,T6713-Top,148.0
2019-01-16T12:14:13Z,air_humidity_percent,SHT25-Top,16.0
2019-01-16T12:14:14Z,air_temperature_celcius,SHT25-Top,26.0
2019-01-16T12:14:15Z,air_carbon_dioxide_ppm,T6713-Top,145.0
2019-01-16T12:19:15Z,air_humidity_percent,SHT25-Top,16.0
2019-01-16T12:19:17Z,air_temperature_celcius,SHT25-Top,26.0
2019-01-16T12:19:20Z,air_carbon_dioxide_ppm,T6713-Top,150.0
2019-01-16T12:24:13Z,air_carbon_dioxide_ppm,T6713-Top,145.0
2019-01-16T12:24:15Z,air_temperature_celcius,SHT25-Top,26.0
2019-01-16T12:24:17Z,air_humidity_percent,SHT25-Top,16.0
2019-01-16T12:29:19Z,air_humidity_percent,SHT25-Top,16.0
2019-01-16T12:29:21Z,air_temperature_celcius,SHT25-Top,26.0
2019-01-16T12:29:22Z,air_carbon_dioxide_ppm,T6713-Top,147.0
2019-01-16T12:34:14Z,air_carbon_dioxide_ppm,T6713-Top,147.0
2019-01-16T12:34:19Z,air_temperature_celcius,SHT25-Top,26.0
2019-01-16T12:34:20Z,air_humidity_percent,SHT25-Top,16.0
2019-01-16T12:39:14Z,air_humidity_percent,SHT25-Top,16.0
2019-01-16T12:39:18Z,air_carbon_dioxide_ppm,T6713-Top,145.0
2019-01-16T12:39:18Z,air_temperature_celcius,SHT25-Top,26.0
2019-01-16T12:44:18Z,air_temperature_celcius,SHT25-Top,26.0
2019-01-16T12:44:19Z,air_carbon_dioxide_ppm,T6713-Top,146.0
2019-01-16T12:44:22Z,air_humidity_percent,SHT25-Top,17.0
2019-01-16T12:49:15Z,air_carbon_dioxide_ppm,T6713-Top,147.0
2019-01-16T12:49:15Z,air_temperature_celcius,SHT25-Top,26.0
2019-01-16T12:49:16Z,air_humidity_percent,SHT25-Top,16.0
2019-01-16T12:54:14Z,air_humidity_percent,SHT25-Top,16.0
2019-01-16T12:54:17Z,air_carbon_dioxide_ppm,T6713-Top,143.0
2019-01-16T12:54:20Z,air_temperature_celcius,SHT25-Top,26.0
2019-01-16T12:59:15Z,air_humidity_percent,SHT25-Top,16.0
2019-01-16T12:59:18Z,air_temperature_celcius,SHT25-Top,26.0
2019-01-16T12:59:23Z,air_carbon_dioxide_ppm,T6713-Top,147.0
2019-01-16T13:04:16Z,air_temperature_celcius,SHT25-Top,26.0
2019-01-16T13:04:18Z,air_humidity_percent,SHT25-Top,16.0
2019-01-16T13:04:23Z,air_carbon_dioxide_ppm,T6713-Top,149.0
2019-01-16T13:09:15Z,air_carbon_dioxide_ppm,T6713-Top,141.0
2019-01-16T13:09:17Z,air_temperature_celcius,SHT25-Top,26.0
2019-01-16T13:09:18Z,air_humidity_percent,SHT25-Top,16.0
2019-01-16T13:14:17Z,air_temperature_celcius,SHT25-Top,26.0
2019-01-16T13:14:23Z,air_humidity_percent,SHT25-Top,16.0
2019-01-16T13:14:25Z,air_carbon_dioxide_ppm,T6713-Top,140.0
2019-01-16T13:19:17Z,air_carbon_dioxide_ppm,T6713-Top,144.0
2019-01-16T13:19:18Z,air_humidity_percent,SHT25-Top,16.0
2019-01-16T13:19:22Z,air_temperature_celcius,SHT25-Top,26.0
2019-01-16T13:24:21Z,air_carbon_dioxide_ppm,T6713-Top,141.0
2019-01-16T13:24:51Z,air_humidity_percent,SHT25-Top,16.0
2019-01-16T13:24:51Z,air_temperature_celcius,SHT25-Top,26.0
2019-01-16T13:29:18Z,air_carbon_dioxide_ppm,T6713-Top,143.0
2019-01-16T13:29:19Z,air_humidity_percent,SHT25-Top,16.0
2019-01-16T13:29:19Z,air_temperature_celcius,SHT25-Top,26.0
2019-01-16T13:34:18Z,air_humidity_percent,SHT25-Top,16.0
2019-01-16T13:34:19Z,air_carbon_dioxide_ppm,T6713-Top,149.0
2019-01-16T13:34:23Z,air_temperature_celcius,SHT25-Top,26.0
2019-01-16T13:39:18Z,air_temperature_celcius,SHT25-Top,26.0
2019-01-16T13:39:23Z,air_humidity_percent,SHT25-Top,16.0
2019-01-16T13:39:24Z,air_carbon_dioxide_ppm,T6713-Top,146.0
2019-01-16T13:44:19Z,air_humidity_percent,SHT25-Top,16.0
2019-01-16T13:44:20Z,air_carbon_dioxide_ppm,T6713-Top,140.0
2019-01-16T13:45:01Z,air_temperature_celcius,SHT25-Top,26.0
2019-01-16T13:49:21Z,air_humidity_percent,SHT25-Top,16.0
2019-01-16T13:49:22Z,air_carbon_dioxide_ppm,T6713-Top,143.0
2019-01-16T13:49:24Z,air_temperature_celcius,SHT25-Top,26.0
2019-01-16T13:54:20Z,air_humidity_percent,SHT25-Top,16.0
2019-01-16T13:54:21Z,air_carbon_dioxide_ppm,T6713-Top,151.0
2019-01-16T13:54:23Z,air_temperature_celcius,SHT25-Top,26.0
2019-01-16T13:59:21Z,air_carbon_dioxide_ppm,T6713-Top,144.0
2019-01-16T13:59:22Z,air_humidity_percent,SHT25-Top,17.0
2019-01-16T13:59:27Z,air_temperature_celcius,SHT25-Top,26.0
2019-01-16T14:04:21Z,air_humidity_percent,SHT25-Top,16.0
