variable,sensor_name,timestamp_utc,value,value_json
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-29T21:06:44Z,18.55,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-29T21:11:44Z,18.55,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-29T21:16:45Z,18.54,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-29T21:21:44Z,18.52,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-29T21:26:45Z,18.51,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-29T21:31:47Z,18.50,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-29T21:36:49Z,18.48,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-29T21:41:49Z,18.48,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-29T21:46:49Z,18.47,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-29T21:51:50Z,18.46,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-29T21:56:53Z,18.45,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-29T22:01:54Z,18.43,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-29T22:06:54Z,18.41,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-29T22:11:54Z,18.39,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-29T22:16:53Z,18.37,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-29T22:21:51Z,18.35,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-29T22:26:53Z,18.32,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-29T22:31:55Z,18.31,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-29T22:36:53Z,18.28,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-29T22:41:55Z,18.27,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-29T22:46:59Z,18.26,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-29T22:51:55Z,18.25,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-29T22:57:04Z,18.23,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-29T23:01:57Z,18.23,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-29T23:07:04Z,18.21,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-29T23:11:59Z,18.21,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-29T23:17:03Z,18.21,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-29T23:22:05Z,18.20,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-29T23:27:08Z,18.20,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-29T23:32:09Z,18.21,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-29T23:37:03Z,18.22,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-29T23:42:06Z,18.23,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-29T23:47:06Z,18.23,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-29T23:52:10Z,18.24,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-29T23:57:07Z,18.25,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-30T00:02:11Z,18.25,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-30T00:07:25Z,18.26,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-30T00:07:28Z,18.26,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-30T00:12:06Z,18.26,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-30T00:17:04Z,18.26,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-30T00:22:05Z,18.26,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-30T00:27:07Z,18.26,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-30T00:32:13Z,18.26,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-30T00:37:10Z,18.26,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-30T00:42:14Z,18.26,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-30T00:47:11Z,18.26,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-30T00:52:14Z,18.25,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-30T00:57:14Z,18.26,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-30T01:02:15Z,18.25,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-30T01:07:19Z,18.25,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-30T01:12:19Z,18.24,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-30T01:17:16Z,18.23,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-30T01:22:25Z,18.23,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-30T01:27:27Z,18.22,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-30T01:32:16Z,18.20,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-30T01:37:21Z,18.19,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-30T01:42:19Z,18.18,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-30T01:47:18Z,18.17,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-30T01:52:24Z,18.15,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-30T01:57:18Z,18.15,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-30T02:02:31Z,18.14,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-30T02:07:21Z,18.14,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-30T02:12:20Z,18.14,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-30T02:17:25Z,18.14,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-30T02:22:32Z,18.14,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-30T02:27:28Z,18.14,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-30T02:32:26Z,18.14,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-30T02:37:32Z,18.14,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-30T02:42:34Z,18.14,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-30T02:47:36Z,18.14,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-30T02:52:33Z,18.14,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-30T02:57:35Z,18.14,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-30T03:02:37Z,18.15,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-30T03:07:40Z,18.15,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-30T03:12:28Z,18.14,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-30T03:17:28Z,18.15,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-30T03:22:39Z,18.14,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-30T03:27:33Z,18.14,
water_temperature_celcius,AtlasTemp-Reservoir,2018-11-30T03:32:35Z,18.14,
